Category,User-Agent,Screen Resolution,OS,Language,CPU/GPU Specs,Browser Fingerprinting,Plugins,Canvas Fingerprint,Timezone,IP Address (Masked),Connection Speed,Proxy/VPN Detection,Mouse Movement Patterns,Click Timings,Scroll Depth,Touch Pressure,Page Load Time,Dwell Time,Inactivity Patterns,Keystroke Dynamics,Small Pointer Movements
Bot,HeadlessChrome/88.0.4324.96,300x300,Unknown Unix,de-DE,Emulated GPU,Repeated,No Plugins Detected ???,Same Hash,Spoofed,IPv6 Tunnel,Low Latency Bot,Detected,,"[0.4, 0.5, 0.6]",Full Scroll Immediately,No Touch Data,"[0.3, 0.5, 0.1]","[0.9, 0.8, 0.5]",Timed Triggers,Perfect Rhythm,Precise Placement
Bot,Scrapy/2.4.1 (+https://scrapy.org),640x480,Linux,es-ES,Unknown,Repeated,No Plugins Detected,Same Hash,No Timezone Info,IPv6 Tunnel,High Speed,Detected,Linear Movements,"[0.6, 0.5, 0.6]",Instant Scroll,Same Pressure,"[0.2, 0.5, 0.5]","[0.2, 1.0, 0.7]",Timed Triggers,No Errors,Snaps to Target
Bot,Java/1.8.0_281,300x300,Custom OS,en-GB,Virtual CPU,,No Plugins Detected,Same Hash,Spoofed,Datacenter IP,High Speed,Detected,Predictable Paths,"[0.6, 0.5, 0.4]",No Scroll,Emulated Pressure,"[0.29, 0.29, 0.17]","[0.4, 0.8, 0.2]",Continuous Activity,Perfect Rhythm,Precise Placement
Human,,9999x9999,Unknown Unix,,Emulated GPU,Repeated,,Same Hash,UTC+0,Datacenter IP,Unrealistic Speed,Detected,Predictable Paths,"[0.6, 0.4, 0.5]",Jump to Bottom,No Touch Data,"[0.4, 0.3, 0.5]","[0.7, 0.7, 0.8]",Continuous Activity,No Errors,Snaps to Target
Human,Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) Safari/604.1,1280x800,macOS,de-DE,"Intel Core i5, Intel Iris Xe",Unique,"Java Applet Plugin, PDF Viewer",Unique Hash,UTC-7,10.0.x.x,75 Mbps,,Occasional Pauses,"[3.07, 1.06, 1.64]",,Light Tap,"[3.9, 2.0, 2.2]","[59.2, 39.0, 27.5]",Pause After Action,Occasional Errors,Jittery Movements
Bot,HeadlessChrome/88.0.4324.96,640x480,Custom OS,se-ES,Virtual CPU,,Basic Plugins,Same Hash,Randomized,IPv6 Tunnel,Unrealistic Speed,Detected,Too Precise,"[0.5, 0.5, 0.5]",No Scroll,Same Pressure,"[0.4, 0.3, 0.2]","[0.6, 0.5, 0.6]",No Breaks,No Errors,Snaps to Target
Bot,curl/7.64.1,800x600,Custom OS,de-DE,Virtual CPU,Repeated,Basic Plugins,Same Hash,Randomized,Datacenter IP,Low Latency Bot,Detected,Too Precise,"[0.27, 0.75, 0.23]",No Scroll,Constant Pressure,"[0.3, 0.4, 0.4]","[0.5, 0.1, 0.4]",No Breaks,,No Jitter
Human,Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) Safari/604.1,1366x768,Android,es-ES,"AMD Ryzen 5, AMD Radeon RX 5700 XT",Unique,"PDF Viewer, Shockwave Flahs",Unique Hash,UTC-7,192.168.x.x,200 Mbps,Not Detected,Hovering,"[2.9, 2.8, 1.6]",Partial Scroll,Natural Touch,"[1.0, 3.2, 4.3]","[41.01, 38.53, 47.37]",Pause After Action,Natural Pauses,Hesitant
Human,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0,1366x768,macOS,en-US,"AMD Ryzen 5, AMD Radeon RX 5700 XT",Unique,"WebGL Plugin, DRM Plugin RANDOM_TEXT",Unique Hash,UTC+8,10.0.x.x,75 Mbps,Not Detected,Hovering,"[2.9, 2.2, 2.2]",Varies Depending on Content,Slightly Hard Press,"[1.3, 1.3, 1.3]","[53.2, 21.3, 47.1]",Bursts of Activity,Occasional Errors,Jittery Movements
Human,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15,1366x768,Windows 11,es-ES,"Apple M1, Integrated GPU",Unique,"WebGL Plugin, DRM Plugin",Unique Hash,UTC+1,192.168.x.x,75 bMps,Not Detected,Hovering,"[1.0, 2.0, 1.9]",Multiple Scrolls,Natural Touch,"[4.9, 2.3, 3.2]","[19.6, 44.7, 41.3]",Bursts of Activity,Varied Typing Speed,Hesitant
Human,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome9/6.0.4664.110,1600x900,Linux,en-GB,"Intel Core i7, NVIDIA GeForce GTX 1660",Unique,"Java Applet Plugin, PDF Viewer",Unique Hash,UTC+1,172.16.x.x,200 Mbps,Not Detected,Occasional Pauses,"[2.3, 1.1, 0.8]",Slow Scroll,Slightly Hard Press,"[3.5, 1.3, 3.4]","[31.5, 11.9, 11.7]",Periodic Inactivity,Occasional Errors,
Bot,,300x300,Headless Chrome,en-GB,Unknown,Repeated,No Plugins Detected,Same Hash,Spoofed,Datacenter IP,,Detected,Predictable Paths,"[0.5, 0.5, 0.5]",No Scroll,Constant Pressure,"[0.2, 0.3,0 .5]","[0.6, 0.3, 0.3]",Timed Triggers,No Errors,Snaps to Target
Bot,HeadlessChrome/88.0.4324.96,1024x768,Linux,fr-FR,Generic CPU/GPU,Repeated,No Plugins Detected,Same Hash,UTC+0,IPv6 Tunnel,Unrealistic Speed,Detected,Too Precise,"[0.4, 0.5, 0.5]",Jump to Bottom,Constant Pressure,"[0.2, 0.1, 0.4]","[0.6, 0.3, 0.2]",No Breaks,Perfect Rhythm,Snaps to Target
Human,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/96.0.4664.110,1366x768,Android,en-US,"AMD Ryzen 5, AMD Radeon RX 5700 XT",Unique,"WebGL Plugin, DRM Plugin",Unique Hash,UTC+3,172.16.x.x,50 Mbps,Not Detected,Erratic,"[0.8, 2.2, 2.3]",Varies Depending on Content,Natural Touch,"[3.9, 3.9, 1.2]","[51.48, 47.44, 10.19]",Pause After Action $$$,Natural Pauses,Hover Flickers
Human,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15,2560x1440,macOS,de-DE,"Apple M1, Integrated GPU",Unique,"PDF Viewer, Shockwave Flash",Unique Hash,UT+C1,172.16.x.x,20 Mbps,Not Detected,Hovering,"[1.7, 2.9, 0.8]",Varies Depending on Content,Slightly Hard Press,"[2.1, 4.0, 4.5]","[11.1, 41.3, 43.7]",Periodic Inactivity,Varied Typing Speed,Small Adjustments
Human,Scrapy/2.4.1 (+https://scrapy.org),300x300,Uknnown,fr-FR,Unknown,Repeated,Emulated Flash,Same Hash,No Timezone Info,Proxy/VPN IP,Unrealistic Speed,Detectde,Linear Movements,"[0.5, 0.5, 0.6]",Jump to Bottom,Constant Pressure,"[0.2, 0.2, 0.3]","[0.5, 0.5, 0.4]",Timed Triggers,Constant Typing Speed,Snaps to Target
Human,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/96.0.4664.110,1280x800,Windows 11,en-GB,"Intel Core i9, NVIDIA RTX 3070",Unique,"Java Applet Plugin, PDF Viewer",Unique Hash !@#,UTC-7,10.0.x.x,,Not Detected,,"[2.7, 1.0, 1.6]",Slow Scroll,Varied Pressure Levels,"[2.,0 4.4, 3.7]","[15.5, 45.4, 34.5]",Periodic Inactivity,Natural Pauses,Hover Flickers
Bot,curl/7.64.1,8006x00,Unknown Unix,,No GPU Info,Repeated,,Same Hash,Spoofed,Spoofed IP,Unrealistic Speed,Detected,No Movement,"[0.5, 0.4, 0.5]",,Same Pressure,"[0.3, 0.3, 0.1]","[0.1, 0.3, 0.6]",No Breaks,Constant Typing Speed,Precise Placement
Human,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gekco/20100101 Firefox/89.0,828x1792,Windows 10,ed-DE,"Intel Core i7, NVIDIA GeForce GTX 1660",Unqiue,"PDF Viewer, Shockwave Flash",Unique Hash,UTC+8,192.168.x.x,50 Mbps,Not Detected,Hovering,"[1.2, 2.63, 1.57]",Slow Scroll,Slightly Hard Press,"[4.5, 4.5, 1.8]","[55.6, 10.8, 36.0]",Pause After Action,Varied Typing Speed,Small Adjustments
Bot,Python-urllib/3.9,320x240,Unknown,es-ES,,Repeated,No Plugins Detected,,UTC+0,Sopofed IP,Burst Mode,Detected,Linear Movements,"[0.5, 0.5, 0.5]",Jump to Bottom,Constant Pressure,"[0.4, 0.2, 0.5]","[0.5, 0.9, 0.4]",Continuous Activity,Constant Typing Speed,Snaps to Target
Bot,Scrapy/2.4.1 (+https://scrapy.org),1280x800,Unknown,de-DE,Virtual CPU,Repeated,,Same Hash,Spoofed,IPv6 Tunnel,Unrealistic Speed,Detected,Linear Movements,"[0.5, 0.6, 0.5]",Jump to Bottom,Same Pressure,"[0.3, 0.2, 0.4]","[0.7, 0.2, 0.4]",No Breaks,Perfect Rhythm,Snaps to Target
Human,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/96.0.4664.110,1170x2532,macOS,de-DE,"Intel Core i7, NVIDIA GeForce GTX 1660",Unique,"WebGL Plugin, DRM Plugin",Unique Hash,UTC-5,172.16.x.x,20 Mbps,Not Detected,"Smooth, Curved Movements","[1.3, 1.1, 1.6]",,Varied Pressure Levels,"[3.95, 1.0, 4.68]","[54.7, 58.3, 37.9]",Pause After Action,Varied Typing Speed,Small Adjustments
Bot,curl/7.64.1,320x240,Unknown,de-DE,oN GPU Info,Repeated,,Same Hash,No Timezone Info,IPv6 Tunnel,Low Latency Bot,Detected,Too Precise,"[0.4, 0.4, 0.5]",No Scroll,Emulated Pressure,"[0.3, 0.4, 0.2]","[1.0, 0.8, 0.3]",No Breaks,Constant Typing Speed,Precise Placement
Bot,Scrapy/2.4.1 (+https://scrapy.org),300x300,,,Virtual CPU,Repeated,,Same Hash,No Timezone Info,IPv6 Tunnel,Unrealistic Speed,Detected,Predictable Paths,"[0.4, 0.4, 0.4]",Jump to Bottom,No Touch Data,"[0.3, 0.4, 0.3]","[0.5, 0.9, 0.4]",No Breaks,No Errors,Snaps to Target
Bot,HeadlessChrome/88.0.4324.96,320x204 ???,Unknown Unix,,Unknown,Repeated,Basic Plugins,Same Hash,UTC+0,Proxy/VPN IP,Burst Mode,Detected,Too Precise,,Jump to Bottom,No Touch Data,"[0.1, 0.4, 0.3]","[0.3, 0.8, 0.2]",No Breaks,Perfect Rhythm,Precise Placement
Bot,Googlebot/2.1 (+http://www.google.com/bot.html),1024x768,Custom OS,en-GB,Unknown,Repeated,,Same Hash,Spoofed,IPv6 Tunnel,Low Latency Bot,Detected,Predictable Paths,"[0.4, 0.6, 0.6]",No Scroll,Constant Pressure,"[0.3, 0.3, 0.4]","[0.6, 0.3, 0.3]",,Perfect Rhythm,Snaps to Target
Human,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0,2560x1440,Windows 10,fr-FR,"Intel Core i5, Intel Iris Xe",Unique,"WebGL Plugin, DRM Plugin",Unique Hash,UTC-7 ###,1.00.x.x,200 Mbps,Not Detected,,"[2.4, 2.2, 1.1]",Multiple Scrolls,Slightly Hard Press,"[4.1, 3.6, 1.6]","[40.6, 25.4, 51.0]",Pause After Action,Occasional Errors,Small Adjustments
Bot,curl/7.64.1,1280x800,Custom OS,es-ES,,Repeated,Basic Plugins,Same Hash,Spoofed,IPv6 Tunnel,Burst Mode,Detected,Too Precise,"[0.4, 0.5, 0.4]",No Scroll,No Touch Data,"[0.1, 0.3, 0.4]","[0.8, 1.0, 0.9]",Continuous Activity RANDOM_TEXT,No Erorrs,No Jitter
Bot,HeadlessChrome/88.0.4324.96,9999x9999,Custom OS,en-US,No GPU Info,Repeated,No Plugins Detected RANDOM_TEXT,Same Hash,UTC+0,Proxy/VPN IP,,,Too Precise,"[0.5, 0.5, 0.6]",Instant Scroll,,"[0.2, 0.2, 0.5]","[0.7, 0.2, 0.3]",Timed Triggers,No Errors,Precise Placement $$$
Human,Scrapy/2.4.1 (+https://scrapy.org),1024x768,Headless Chrome,en-GB,Generic CPU/GPU,Repeated,No Plugins Detected,Same Hash,No Timezone Info,Proxy/VPN IP !@#,Unrealistic Speed,Detected,Too Precise,"[0.5, 0.5, 0.6]",Jump to Bottom,Emulated Pressure,"[0.2, 0.4, 0.2]","[0.9, 0.5, 0.1]",Continuous Activity,Perfect Rhythm !@#,No Jitter
Bot,HeadlessChrome/88.0.4324.96,320x240,Unknown Unix,en-GB,Emulated GPU,Repeated,Basic Plugins,Same Hash,UTC+0,Spoofed IP,Burst Mode,Detected,No Movement,"[0.5, 0.6, 0.4]",Instant Scroll,Emulated Pressure,"[0.5, 0.4, 0.4]","[0.7, 0.9, 0.2]",No Breaks,No Errors,No Jitter
Human,Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) Safari/604.1,1440x900,macOS,,"AMD Ryzen 5, AMD Radeon RX 5700 XT",Unique,"Java Applet Plugin, PDF Viewer",Unique Hash,UTC-5,172.16.x.x,75 Mbps,Not Detected,"Smooth, Curved Movements","[1.7, 0.9, 0.8]",Slow Scroll,Slightly Hard Prses,"[4.9, 4.8, 3.8]","[29.4, 19.2, 17.7]",Periodic Inactivity,Varied Typing Speed,Hesitant
Bot,curl/7.64.1,1280x800,Custom OS,de-DE,Virtual CPU,Repeated,No Plugins Detected,Same Hash,Randomized,Proxy/VPN IP,Unrealistic Speed,Detected,Linear Movements,"[0.5, 0.4, 0.6]",Jump to Bottom,Same Pressure,"[0.2, 0.4, 0.3]","[0.9, 0.3, 0.9]",No Breaks,Constant Typing Speed,Snaps to Target
Human,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/96.0.4664.110,1280x720,macOS,en-GB,"Apple M1, Integrated GPU",Unique,"Flash, PDF Viewer, Widevine CDM",Unique Hash,UTC-5,192.168.x.x,75 Mbps,Not Detected,"Smooth, Curved Movements","[3.0, 1.3, 2.5]",Partial Scroll,Varied Pressure Levels,"[1.7, 3.8, 2.6]","[48.3, 51.3, 24.5]",Pause After Action,Natural Pauses,Jittery Movements
Bot,Java/1.8.0_281,800x600,Headless Chrome,en-SU,Generic CPU/GPU,Repeated,Emulated Flash !@#,Same Hash,Spoofed,Datacenter IP,Low Latency Bot,Detected,Too Precise,"[0.6, 0.4, 0.5]",Jump to Bottom,Constant Pressure,,"[0.7, 0.8, 05.]",Timed Triggers,Perfect Rhythm,Snaps to Target
Bot,Java/1.8.0_281,800x600,Unknown,en-US,Generic CPU/GPU,Repeated,Basic Plugins,Same Hash,Randomized,Spoofed IP,High Speed,Detected,Predictable Paths,"[0.4, 0.4, 0.5]",Full Scroll Immediately,Same Pressure,"[0.5, 0.5, 0.4]","[0.3, 0.4,0 .3]",No Breaks,Constant Typing Speed !@#,Snaps to Target
Human,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0,828x1792,iOS,en-GB,"Apple M1, Integrated GPU",Unique,"Java Applet Plugin, PDF Viewer",Unique Hash,UTC-7,10.0.x.x,100 Mbps,Not Detected,Hovering,"[1.7, 1.1, 0.7]",Slow Scroll,Slightly Hard Press,"[3.6, 3.0, 4.3]","[59.7, 10.5, 51.1]",Bursts of Activity,,Small Adjustments
Bot,Python-urllib/3.9,800x600,Unknown Unix,de-DE,Emulated GPU,Repeated,No Plugins Detected,Same Hash,No Timezone Info,Proxy/VPN IP,Burst Mode,Detected,No Movement,"[0.4, 0.6, 0.5]",Jump to Bottom,No Touch Data,"[0.4, 0.4, 0.4]","[0.9, 0.4, 0.4]",Timed Triggers,No Errors,No Jitter
Bot,HeadlessChrome/88.0.4324.96,1280x080,Custom OS,en-US RANDOM_TEXT,Virtual CPU,Repeated,No Plugins Detected,Same Hash,Randomized,IPv6 Tunnel,Burst Mode,Detected,Too Precise,"[0.5, 0.5, 0.5]",No Scroll,Emulated Pressure,"[0.2, 0.4, 0.5]","[0.3, 0.2, 0.2]",Continuous Activity,Constant Typing Speed,No Jitter
Human,curl/7.64.1,,Linux,fr-FR,No GPU Info,Repeated,Emulated Flash,Same Hash,Spoofed,Spoofed IP,Unrealistic Speed,Detected,No Movement,"[0.5, 0.6, 0.5]",,,"[0.,3 0.4, 0.4]","[0.8, 0.7, 0.3]",Timed Triggers,Constant Typing Speed,Snaps to Target
Human,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/96.0.4664.110,1920x1080,Windows 10,,"Intel Core i9, NVIDIA RTX 3070",Unique,"Java Applet Plugin, PDF Viewer",,UTC+8,172.16.x.x,20 Mbps,Not Detected,"Smooth, Curved Movements","[0.6, 2.5, 1.1]",Multiple Scrolls,Slightly Hard Press,"[2.1, 1.8, .30]","[16.9, 18.7, 24.8]",Bursts of Activity,Natural Pauses,Small Adjustments !@#
